data/text/text_3.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_EnemyAppearedText::				_EnemyAppearedText::										
	text_ram	wEnemyMonNick			text_ram	wEnemyMonNick		text_ram	wEnemyMonNick	wEnemyMonNick	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	text_start				text_start			text_start			2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	line	appeared!			line	出現了！		line	扑过来了！	appeared!				
	prompt				prompt			prompt						
														
_TrainerWantsToFightText::				_TrainerWantsToFightText::										
	text_ram	wTrainerName 			text_ram	wTrainerName		text_ram	wTrainerName	wTrainerName 	I’m raising Pokémon, too.	我也在培育宝可梦哦！	わたしも	わたしも
	text	 wants			text_start			text_start		 wants			ポケモンを　そだててるの！	ポケモンを　そだててるの!
	line	to fight!			line	前來挑戰了！		line	前来挑战了！	to fight!	When they get strong, they’ll be able to	要是它们够厉害，		つよく　なれば
	prompt				prompt			prompt			protect me.	就可以来给我当保安了呢！	つよく　なれば	ガードマンの　かわりに　なるしね
													ガードマンの　かわりに　なるしね	
_UnveiledGhostText::				_UnveiledGhostText::										
	text	SILPH SCOPE			text	西爾佛檢視鏡		text	西尔佛检视镜	SILPH SCOPE	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	unveiled the			line	讓幽靈現出了原形！		line	使幽灵现出了原形！	unveiled the	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	cont	GHOST's identity!			prompt			prompt		GHOST's identity!				…　シルフ　カンパニー
	prompt											……西尔佛公司	……シルフカンパニー	
														
_GhostCantBeIDdText::				_GhostCantBeIDdText::										
