data/pokemon/dex_entries.asm										US: Red / Blue	JP: Red / Greed			たかさ(m)	おもさ(kg)			
	153	妙蛙種子	フシギダネ	Bulbasaur	BulbasaurDexEntry:	SEED	2-4	150	_BulbasaurDexEntry	据说在它出生的时候，背上就种有一个会和它身体一同成长的神奇种子。	从出生的时候开始，背上就有一颗植物种子。这颗种子会渐渐地长大。	BulbasaurDexEntry:	種子	0-7	6-9	_BulbasaurDexEntry	0001	背上的種子裡儲存著營養，所以即使好幾天不吃東西也可以活得好好的！
	9	妙蛙草	妙蛙种子	Ivysaur	IvysaurDexEntry:	SEED	3-3	290	_IvysaurDexEntry	当背上的花苞长大之后，它似乎就无法再用两只脚站立起来了。	据说长在背上的花苞在吸收足够的养分后，就会开出大大的花朵。	IvysaurDexEntry:	種子	1-0	13-0	_IvysaurDexEntry	0002	它的花苞會在吸收養分後長大。當花苞發出香味時，就預示著它快要開花了。
	154	妙蛙花	フシギバナ	Venusaur	VenusaurDexEntry:	SEED	6-7	2210	_VenusaurDexEntry	把太阳的能源当成养分，开出硕大的花朵。总是朝着有阳光的地方移动。	花朵散发出的迷人香味能安抚激动的心情，甚至消弭斗争。	VenusaurDexEntry:	種子	2-0	100-0	_VenusaurDexEntry	0003	它背上開出的大花能夠吸收太陽光並將其轉換為能量。
	176	小火龍	ヒトカゲ	Charmander	CharmanderDexEntry:	LIZARD	2-0	190	_CharmanderDexEntry	天生喜欢热热的东西。据说当它被雨淋湿的时候，尾巴的末端会冒出烟来。	生下来的时候，尾巴上就有火焰在燃烧。火焰熄灭时，它的生命也会结束。	CharmanderDexEntry:	蜥蜴	0-6	8-5	_CharmanderDexEntry	0004	要是把它帶到安靜的地方，就能聽到它的尾巴燃燒時發出的微小的聲音。
	178	火恐龍	リザード	Charmeleon	CharmeleonDexEntry:	FLAME	3-7	420	_CharmeleonDexEntry	如果挥舞燃烧着的尾巴，就能令周围温度不断上升，从而让对手陷入痛苦。	会先挥舞尾巴扫倒对手，然后再用利爪将其撕成碎片。	CharmeleonDexEntry:	火焰	1-1	19-0	_CharmeleonDexEntry	0005	在與強敵戰鬥的過程中，如果情緒變得興奮起來，有時會噴出青白色的烈火。
	180	噴火龍	リザードン	Charizard	CharizardDexEntry:	FLAME	5-7	2000	_CharizardDexEntry	能够喷出猛烈的火焰，仿佛连岩石都能烤焦。有时会引发森林火灾。	能用翅膀飞到距地面１４００米的高度。会吐出高温火焰。	CharizardDexEntry:	火焰	1-7	90-5	_CharizardDexEntry	0006	從口中噴出灼熱的火焰時，尾巴尖端的紅色火焰會燃燒得更加猛烈。
	177	傑尼龜	ゼニガメ	Squirtle	SquirtleDexEntry:	TINYTURTLE	1-8	200	_SquirtleDexEntry	出生之后，它的背逐渐隆起和变硬而成为外壳。能从嘴巴强而有力地喷出泡沫。	当它把长长的脖子缩回壳里时，会顺势发射出力道强劲的水枪。	SquirtleDexEntry:	小龜	0-5	9-0	_SquirtleDexEntry	0007	會從水面噴水捕食。危急時會將四肢縮入龜殼裡保護自己。
	179	卡咪龜	カメール	Wartortle	WartortleDexEntry:	TURTLE	3-3	500	_WartortleDexEntry	经常潜在水中来向猎物发动突袭。当快速游动时，会摆动耳朵以保持平衡。	作为宠物来说，活得比人类还久。另外，它膨大的尾巴是长寿象征。	WartortleDexEntry:	龜	1-0	22-5	_WartortleDexEntry	0008	如果拍打它的頭部，它會把頭縮進殼裡，但尾巴還是會露出來一點點。
	28	水箭龜	カメックス	Blastoise	BlastoiseDexEntry:	SHELLFISH	5-3	1890	_BlastoiseDexEntry	甲壳上有喷射口，是个会以火箭般气势冲向对手的厉害家伙。	身体很重，压住对手后就能让对手昏厥。遇到危险时会躲进壳里。	BlastoiseDexEntry:	甲殼	1-6	85-5	_BlastoiseDexEntry	0009	一旦鎖定了目標，它會以超越了消防水槍的力道來噴水。
